sector,anio,vab,rta,imb,puestos_total,puestos_ar,puestos_anr,puestos_na
Total general,2016,6947932.714092892,3601607.5576090435,791125.7783742019,20019.909812690636,10594.427808550194,4635.505781644313,4789.97622249613
Total general,2017,8993361.372061964,4656443.844385825,1030926.5745475448,20344.709303680018,10700.270978183735,4686.168847360181,4958.269478136104
Total general,2018,12478123.591775578,5916350.568741841,1534909.3693006628,20572.820563726615,10768.678673139722,4787.756675783666,5016.385214803226
Total general,2019,18090816.018631365,8353795.791944626,2418626.5209647994,20863.373226982138,10676.745467794795,4902.308871275525,5284.318887911817
Total general,2020,22753874.438122507,10915238.966334637,3088243.550075818,19287.312578652054,10407.74464853528,4109.311054093287,4770.256876023488
Total general,2021,38650606.382291205,16714838.97589999,5241948.115542968,20593.23585257132,10550.127796315948,4673.0470823762425,5370.060973879127
Total general,2022,69715763.9209508,30424306.92034047,9351444.078299513,21818.42208906834,10914.02661014663,5295.932319975996,5608.463158945713
Total sector público (1),2016,1129127.7384405022,1129127.7384405022,NA,3420.166910888454,3420.166910888454,NA,NA
Total sector público (1),2017,1436665.8702673381,1436665.8702673384,NA,3454.4833889148767,3454.4833889148763,NA,NA
Total sector público (1),2018,1822222.7246240252,1822222.7246240256,NA,3490.122056621293,3490.122056621293,NA,NA
Total sector público (1),2019,2600813.0791703113,2600813.079170312,NA,3518.0846441474732,3518.0846441474732,NA,NA
Total sector público (1),2020,3242385.1428122316,3440472.6969121587,NA,3533.343876535306,3533.343876535306,NA,NA
Total sector público (1),2021,5105487.435562226,5218528.923275516,NA,3588.9775355900324,3588.9775355900324,NA,NA
Total sector público (1),2022,9371576.170026917,9371576.170026919,NA,3665.9998524308653,3665.9998524308653,NA,NA
Total excluido sector público,2016,5818804.975652389,2472479.819168541,791125.7783742019,16599.742901802183,7174.260897661741,4635.505781644313,4789.97622249613
Total excluido sector público,2017,7556695.501794625,3219777.9741184874,1030926.5745475448,16890.225914765142,7245.787589268857,4686.168847360181,4958.269478136104
Total excluido sector público,2018,10655900.867151553,4094127.844117816,1534909.3693006628,17082.69850710532,7278.556616518429,4787.756675783666,5016.385214803226
Total excluido sector público,2019,15490002.939461052,5752982.712774314,2418626.5209647994,17345.288582834666,7158.660823647324,4902.308871275525,5284.318887911817
Total excluido sector público,2020,19511489.295310277,7474766.269422478,3088243.550075818,15753.968702116745,6874.400771999973,4109.311054093287,4770.256876023488
Total excluido sector público,2021,33545118.94672899,11496310.052624477,5241948.115542968,17004.258316981286,6961.150260725917,4673.0470823762425,5370.060973879127
Total excluido sector público,2022,60344187.75092389,21052730.75031355,9351444.078299513,18152.42223663747,7248.026757715765,5295.932319975996,5608.463158945713
"Agricultura, ganadería, caza y silvicultura",2016,493469.1258894553,100970.71934273027,49049.12782766978,1333.5642718031659,334.73498163588744,536.7996868369778,462.0296033303007
"Agricultura, ganadería, caza y silvicultura",2017,530207.909375364,130598.01244352205,63297.41647743712,1352.9753823598999,337.5433165761161,544.4726403371735,470.9594254466102
"Agricultura, ganadería, caza y silvicultura",2018,614184.1860629388,162318.7085761087,87046.72578697835,1360.2725633525795,342.45988750165213,547.3914604309067,470.42121542002064
"Agricultura, ganadería, caza y silvicultura",2019,1070368.671009129,238063.98266568175,139744.85765977926,1385.9214512567503,346.5788012041805,553.2778192778217,486.0648307747481
"Agricultura, ganadería, caza y silvicultura",2020,1638714.1962374365,356436.2413493283,200740.92545122086,1369.949847878952,339.0360882718413,551.610471714625,479.30328789248586
"Agricultura, ganadería, caza y silvicultura",2021,3216496.0993437604,519847.4511654413,308171.1350030089,1388.136646306652,342.6105975810001,556.83581010648,488.69023861917174
"Agricultura, ganadería, caza y silvicultura",2022,5195410.4660431035,890068.331800071,501480.4754019327,1369.5079363696423,336.4002864124142,552.690453515781,480.4171964414471
Pesca,2016,21989.34534027795,8440.671873616335,681.7273834613678,21.46192685884069,13.504107011578458,3.2725538800158773,4.685265967246355
Pesca,2017,27494.989976078636,11049.853832487854,884.5327989159716,21.94433638485039,13.723062321824347,3.2525545881967686,4.968719474829275
Pesca,2018,54917.4660601934,18297.93136949077,1526.5750829984088,22.337592063815126,14.011468027054732,3.2392658084370276,5.086858228323365
Pesca,2019,76229.25306480956,27524.575481939886,2247.2962136978485,22.25910117639432,13.947673494551891,3.282199119137894,5.029228562704538
Pesca,2020,91022.85200327935,33602.485486522484,2353.5696690258583,21.044018137794964,13.628149649977686,3.097862542799821,4.318005945017456
Pesca,2021,153467.84654241716,55751.888123247234,4573.353285869991,22.78360329654508,14.317207870444172,3.3623629406545135,5.104032485446398
Pesca,2022,221666.1326018883,86334.09895477016,9456.853327081826,24.272844084594166,14.66276731497444,3.088655433740745,6.521421335878982
Explotación de minas y canteras,2016,264727.38849397365,85652.20498309741,544.7873035461246,100.03750122948459,88.10276093370516,9.79564171792592,2.1390985778535114
Explotación de minas y canteras,2017,314229.6750818881,101533.54061753544,718.2476563587064,95.98917858291564,83.64705068982339,10.057303995729477,2.284823897362778
Explotación de minas y canteras,2018,565649.1294787875,136682.15239380847,1008.2912270334011,98.56908164301798,86.06325631222354,10.130477757696697,2.375347573097746
Explotación de minas y canteras,2019,857973.447994544,213781.65983279122,1550.6495591127439,102.71916275121849,89.871245496233,10.426624324986147,2.4212929299993293
Explotación de minas y canteras,2020,842707.3144310032,268885.132156527,1719.483007643544,99.11968662954467,86.45992420378342,10.39190708031321,2.267855345448046
Explotación de minas y canteras,2021,1574239.7204336089,389388.70011993207,2907.6585078416165,101.20688862942085,85.77402990902787,12.955290787588554,2.4775679328044227
Explotación de minas y canteras,2022,2570981.4561653887,777399.4848168497,5317.177408182461,108.10376168874241,91.82615832625471,13.328046726604182,2.9495566358835186
Industria manufacturera,2016,1109816.2979232739,516060.7663534651,174813.056174999,2334.272190203791,1235.7160404671952,471.2182758016738,627.3378739349218
Industria manufacturera,2017,1368258.2728982626,656687.1296046168,208334.25943790685,2333.9843764362004,1206.9197415827352,480.29295759403055,646.7716772594347
Industria manufacturera,2018,2073141.5258595408,806838.726895488,337817.6278986028,2308.6989768655526,1173.7227603700376,480.29544538481804,654.680771110697
Industria manufacturera,2019,2919194.228289666,1096912.8013257924,534998.1963639252,2335.572171225339,1113.8053074749287,503.25348011419806,718.5133836362119
Industria manufacturera,2020,3970055.961920806,1453820.0344952792,813071.9273143668,2258.74688065131,1088.0082757145547,437.95863409690946,732.7799708398463
Industria manufacturera,2021,7190957.738116607,2270819.810969844,1321523.5121095164,2339.13849327447,1113.480901475018,486.50348211456367,739.1541096848882
Industria manufacturera,2022,13594567.937187856,4161716.2315418087,2622500.4261078206,2536.6787997782853,1157.1756243524012,570.6950220833123,808.8081533425717
"Electricidad, gas y agua",2016,124697.19440227571,61627.73066703587,1240.0702536569165,126.37572551081058,91.81059421966536,23.321100576898218,11.244030714247
"Electricidad, gas y agua",2017,184282.7804448201,82740.68261715352,1441.2148307392035,125.77977479100036,93.9053947277687,23.121126155025937,8.753253908205728
"Electricidad, gas y agua",2018,269406.8974497228,104953.16585612882,1892.4926441050993,127.98964139002422,94.85310812470965,24.088999326498755,9.047533938815816
"Electricidad, gas y agua",2019,388392.88708408934,149312.4707907321,2700.286602541974,128.12229155650326,94.93638868228457,23.631696491113576,9.554206383105084
"Electricidad, gas y agua",2020,403321.7778482861,196483.35741821703,3755.9604158003667,127.27800844766259,93.99182131433213,23.17838997146096,10.107797161869513
"Electricidad, gas y agua",2021,443908.4384653014,295317.39798274176,4461.395792094494,135.29616536693587,94.82808671632506,30.05369236018272,10.414386290428077
"Electricidad, gas y agua",2022,681109.6687617816,508935.84546136024,8038.560963606733,137.61473126842924,95.29678780736971,30.36392347447297,11.954019986586534
Construcción,2016,315406.2492380284,137485.76377448736,68662.12874009025,1605.0272354458702,403.4756986776903,474.96119722437174,726.5903395438081
Construcción,2017,455253.37776089954,192356.10662444055,90906.51347189856,1673.9033159174746,435.12773751452846,488.7010515132247,750.0745268897215
Construcción,2018,589211.4299786239,251640.81320969935,118718.56525936801,1716.3498653056208,447.3767531064063,519.4289582910974,749.544153908117
Construcción,2019,826911.107648158,351226.72057830344,169474.74010436126,1727.1328634766153,429.08692745680366,532.964197175923,765.0817388438886
Construcción,2020,881328.5579935652,375359.61329996097,195615.57980920922,1469.272378324892,332.7083995057724,446.76314919837637,689.8008296207435
Construcción,2021,1652131.1906808992,626234.0748611703,358678.57322898565,1655.951067992793,368.8124310695483,502.6506504089239,784.4879865143207
Construcción,2022,3120386.1712995195,1259081.8372213973,652964.351294243,1804.0030621468204,428.5946934586219,568.6207512366891,806.787617451509
"Comercio mayorista, minorista y reparaciones",2016,1104458.8878289443,407159.54257391463,271506.90605930623,3490.1491040480987,1229.3808405759949,666.8209141668452,1593.9473493052587
"Comercio mayorista, minorista y reparaciones",2017,1467211.2490763795,533614.067242236,359381.98216301063,3560.09000514293,1239.1767000813525,683.1613530458877,1637.75195201569
"Comercio mayorista, minorista y reparaciones",2018,2180003.0539405,679219.2993237162,571634.7855031246,3562.7920479817294,1237.227522118391,702.8173089423295,1622.7472169210084
"Comercio mayorista, minorista y reparaciones",2019,3137350.5251266733,928417.5919959623,928829.0287036682,3578.2573691021453,1194.202633072402,730.0001944039876,1654.0545416257557
"Comercio mayorista, minorista y reparaciones",2020,4413046.214259362,1226851.085633028,1238341.6372854512,3284.4410228902448,1164.0177251266991,639.029915085989,1481.3933826775567
"Comercio mayorista, minorista y reparaciones",2021,7643341.092782637,1894429.695988996,2189666.678189568,3649.2581083520786,1170.7511947412897,760.4268553463584,1718.0800582644306
"Comercio mayorista, minorista y reparaciones",2022,13951500.026412012,3447785.3858646424,3646694.178309775,3875.4284989859584,1230.7978085886425,866.2921347587898,1778.338555638526
Hoteles y restaurantes,2016,169005.71540974133,65239.3608260098,55685.4200256307,651.2697397107203,295.61300512309793,191.83500651491798,163.8217280727043
Hoteles y restaurantes,2017,231006.02687418723,85007.705588666,78718.531297631707,672.665020333241,296.14739065008774,201.60450686187036,174.91312282128303
Hoteles y restaurantes,2018,296995.8265975528,105711.09773476407,102209.06886915903,684.6423751118083,293.0920317610066,215.47610681005767,176.07423654074407
Hoteles y restaurantes,2019,422627.69077204884,140163.93740736318,140756.40562247104,677.4740105368728,283.65782126265253,211.73116215142062,182.08502712279957
Hoteles y restaurantes,2020,312749.7058546358,141777.06570462094,126246.12252127388,548.7890923731276,253.43640361129096,153.22081134197634,142.1318774198603
Hoteles y restaurantes,2021,586228.6639781662,217754.60666978295,189106.7919608305,563.6479458659793,230.36793869773527,188.2222234728899,145.05778369535417
Hoteles y restaurantes,2022,1549202.3421297544,474672.33055830456,389732.06151724095,683.505603025063,276.42469960111885,241.47435583836443,165.6065475855797
"Transporte, almacenamiento y comunicaciones",2016,440273.83095919027,285131.15213468496,23907.35015967114,1162.864964184736,608.5867736195962,266.1120757422042,288.16611482293564
"Transporte, almacenamiento y comunicaciones",2017,599565.921043152,371454.2657045915,32536.304905283243,1187.5149716715246,615.778811988002,275.5759142446492,296.16024543887346
"Transporte, almacenamiento y comunicaciones",2018,777792.8795419073,464386.7232742693,47195.6970404568,1192.42809779848,611.020177732034,280.617904310715,300.7900157557309
"Transporte, almacenamiento y comunicaciones",2019,1256377.1248194587,643002.735007226,79216.90192697069,1200.7461681227483,603.2405031749355,277.7500219868731,319.7556429609395
"Transporte, almacenamiento y comunicaciones",2020,1388678.9308979877,821798.9947334535,80134.57581162178,1039.9091737034676,575.5370461054353,209.19654417121777,255.17558342681463
"Transporte, almacenamiento y comunicaciones",2021,2199601.4945777133,1244419.869099658,146395.48139329892,1169.8235265970818,581.0200449203611,262.55066104639064,326.25282063033
"Transporte, almacenamiento y comunicaciones",2022,3848371.150411482,2258570.505448088,285576.0214569046,1219.02042043851,583.3089270551003,298.4305386207451,337.28095476266435
Intermediación financiera,2016,321378.94645486283,171088.74220990765,6275.090853483902,303.98946992658887,259.87466666666666,18.98588387430553,25.128919385616676
Intermediación financiera,2017,418551.8219588993,218633.54271038415,8724.226552703163,304.82120430336454,258.24224556202216,20.247466126615603,26.331492614726734
Intermediación financiera,2018,516945.40035269945,278953.1800625654,11476.627567006642,307.74280271254884,258.0636614686956,21.671104744418656,28.008036499434535
Intermediación financiera,2019,666094.2826072945,411604.7660030087,18789.709603025232,308.01048576581053,255.1728194712848,21.61625753897976,31.221408755545937
Intermediación financiera,2020,1029215.675574312,561767.5268365627,22435.02252714239,298.11057506341604,250.84429919843478,17.31608333116344,29.950192533817813
Intermediación financiera,2021,1352345.244768998,820155.6739387339,37994.521515326545,309.04796327368484,248.02844493591073,21.70689835364014,39.31261998413396
Intermediación financiera,2022,2016359.5478573588,1405907.8874667138,64882.88112025241,302.8033705207442,245.16267225145822,21.274239553469855,36.366458715816066
"Actividades inmobiliarias, empresariales y de alquiler",2016,765831.6801753899,234742.473418866,71449.00790878848,1287.2734942452335,824.4445644479351,82.84442979729825,379.9845
"Actividades inmobiliarias, empresariales y de alquiler",2017,1050371.0829276936,314185.8379483268,104067.90085671737,1356.6687235090765,835.4290919246276,93.39386650865443,427.8457650757944
"Actividades inmobiliarias, empresariales y de alquiler",2018,1507222.0523947286,410805.0660534718,141341.17399025292,1405.1649620298965,850.0003568073555,95.84818571115852,459.3164195113825
"Actividades inmobiliarias, empresariales y de alquiler",2019,2165470.795363229,599505.5793103436,232672.96101463976,1459.4839781374126,845.0354088522162,101.37679981271415,513.0717694724824
"Actividades inmobiliarias, empresariales y de alquiler",2020,2647917.765209719,841297.9504487291,235610.95875858952,1359.6951538469145,833.9784063267493,90.06079201588315,435.6559555042821
"Actividades inmobiliarias, empresariales y de alquiler",2021,4330891.345056828,1340563.8781699343,399446.7977580922,1503.0261337134925,873.912706581435,111.97683675409503,517.1365903779623
"Actividades inmobiliarias, empresariales y de alquiler",2022,7773620.498283979,2463133.5391179835,628888.1896569005,1547.185734355957,923.1363942573054,117.589527856224,506.4598122424277
Administración pública y defensa; planes de seguridad social de afiliación obligatoria,2016,647677.9044765322,647677.9044765324,NA,1558.4038836479524,1558.4038836479524,NA,NA
Administración pública y defensa; planes de seguridad social de afiliación obligatoria,2017,820815.8693699618,820815.8693699618,NA,1575.4676783560844,1575.4676783560844,NA,NA
Administración pública y defensa; planes de seguridad social de afiliación obligatoria,2018,1039301.4321105576,1039301.4321105578,NA,1583.1823489376989,1583.1823489376989,NA,NA
Administración pública y defensa; planes de seguridad social de afiliación obligatoria,2019,1473471.199388718,1473471.199388718,NA,1600.859090868631,1600.859090868631,NA,NA
Administración pública y defensa; planes de seguridad social de afiliación obligatoria,2020,1762573.0308521069,1935170.159521095,NA,1613.5382287236978,1613.5382287236978,NA,NA
Administración pública y defensa; planes de seguridad social de afiliación obligatoria,2021,2891600.189823879,2973423.8026159527,NA,1637.9179454364705,1637.9179454364705,NA,NA
Administración pública y defensa; planes de seguridad social de afiliación obligatoria,2022,5372893.143861119,5372893.143861118,NA,1670.2579062896475,1670.2579062896475,NA,NA
Enseñanza,2016,447963.97834250337,444586.6588636672,4133.15404409568,2069.293348478222,1923.7428482494315,103.788214346485,41.76228588230576
Enseñanza,2017,579775.2008839078,569695.5104260215,5250.538321978127,2098.3539103202957,1945.0565183937124,110.09827421744083,43.19911770914223
Enseñanza,2018,773743.8293070238,725698.7846756794,7046.390876111121,2137.1298203653996,1975.8978816780623,115.86715064751166,45.36478803982594
Enseñanza,2019,1117483.5764668526,1045816.9750550974,10785.79522709312,2145.116456196214,1985.0490550152722,110.74817896121999,49.31922221972226
Enseñanza,2020,1458026.5091801463,1395847.1348562045,11903.631158301889,2095.840670116456,1961.3975611369403,91.58699558526195,42.85611339425365
Enseñanza,2021,2174571.9705795227,2068585.707291671,22826.20663733501,2163.0412753662936,1984.3934596852364,116.93838742784214,61.70942825321483
Enseñanza,2022,3943320.282500362,3695651.953881494,50444.16422858491,2232.76487238959,2034.9768730708647,118.69798891999885,79.09001039872666
Enseñanza pública,2016,359679.4400679937,359679.4400679937,NA,1412.2906535106354,1412.2906535106354,NA,NA
Enseñanza pública,2017,459165.73813716706,459165.7381371671,NA,1423.355589902857,1423.355589902857,NA,NA
Enseñanza pública,2018,584060.0190227114,584060.0190227116,NA,1442.9451818999141,1442.9451818999141,NA,NA
Enseñanza pública,2019,840709.0788403437,840709.0788403437,NA,1446.681906015419,1446.681906015419,NA,NA
Enseñanza pública,2020,1100798.7781220342,1126289.2035529735,NA,1443.7850849585416,1443.7850849585416,NA,NA
Enseñanza pública,2021,1641039.1242065267,1672256.9991277424,NA,1461.771614217897,1461.771614217897,NA,NA
Enseñanza pública,2022,2983844.3208613107,2983844.3208613116,NA,1496.0248412823937,1496.0248412823937,NA,NA
Enseñanza privada,2016,88284.53827450964,84907.2187956735,4133.15404409568,657.002694967587,511.45219473879627,103.788214346485,41.76228588230576
Enseñanza privada,2017,120609.46274674076,110529.77228885435,5250.538321978127,674.9983204174384,521.7009284908554,110.09827421744083,43.19911770914223
Enseñanza privada,2018,189683.81028431235,141638.76565296785,7046.390876111121,694.1846384654855,532.9526997781479,115.86715064751166,45.36478803982594
Enseñanza privada,2019,276774.4976265089,205107.89621475368,10785.79522709312,698.4345501807954,538.3671489998533,110.74817896121999,49.31922221972226
Enseñanza privada,2020,357227.7310581119,269557.9313032309,11903.631158301889,652.0555851579143,517.6124761783987,91.58699558526195,42.85611339425365
Enseñanza privada,2021,533532.8463729953,396328.70816392853,22826.20663733501,701.2696611483966,522.6218454673397,116.93838742784214,61.70942825321483
Enseñanza privada,2022,959475.9616390499,711807.6330201817,50444.16422858491,736.7400311071967,538.9520317884712,118.69798891999885,79.09001039872666
Servicios sociales y de salud,2016,426668.1476455697,233268.1645764857,31296.47441612804,1232.528742081405,748.9306554082971,255.935162585787,227.66292408732093
Servicios sociales y de salud,2017,563524.7929853887,300586.7800319766,37870.62854530426,1257.0605173951521,765.6380505017692,257.58500376727903,233.83746312610398
Servicios sociales y de salud,2018,732960.0961127767,388668.1311628757,51587.41375055144,1294.1199176330988,780.5717219262707,268.67662783092953,244.87156787589842
Servicios sociales y de salud,2019,1031767.3403159742,550769.0197325059,75139.300075346,1333.2637100747456,787.4934701716994,278.1000467173802,267.670193185666
Servicios sociales y de salud,2020,1242052.9464626242,728991.2669194769,76898.35116963656,1295.9818821017218,796.6019510267794,273.06502604567106,226.31490502927136
Servicios sociales y de salud,2021,2036012.5817628133,1127081.627284682,136151.33231844136,1382.310803534252,812.7117383721686,300.5299719050756,269.0690932570077
Servicios sociales y de salud,2022,3626494.146932005,2019335.5168552378,237505.4638385977,1435.1639047059325,824.6773984441644,332.8389686049332,277.6475376568349
Servicios sociales y de salud públicos,2016,121770.3938959762,121770.39389597619,NA,449.47237372986604,449.47237372986604,NA,NA
Servicios sociales y de salud públicos,2017,156684.26276020927,156684.26276020927,NA,455.6601206559353,455.6601206559353,NA,NA
Servicios sociales y de salud públicos,2018,198861.27349075628,198861.27349075634,NA,463.99452578367993,463.99452578367993,NA,NA
Servicios sociales y de salud públicos,2019,286632.8009412498,286632.8009412498,NA,470.54364726342317,470.54364726342317,NA,NA
Servicios sociales y de salud públicos,2020,379013.33383809024,379013.33383809036,NA,476.02056285306696,476.02056285306696,NA,NA
Servicios sociales y de salud públicos,2021,572848.1215318206,572848.1215318207,NA,489.28797593566514,489.28797593566514,NA,NA
Servicios sociales y de salud públicos,2022,1014838.7053044884,1014838.7053044888,NA,499.71710485882386,499.71710485882386,NA,NA
Servicios sociales y de salud privados,2016,304897.7537495935,111497.77068050951,31296.47441612804,783.0563683515389,299.45828167843104,255.935162585787,227.66292408732093
Servicios sociales y de salud privados,2017,406840.5302251794,143902.5172717673,37870.62854530426,801.4003967392168,309.97792984583384,257.58500376727903,233.83746312610398
Servicios sociales y de salud privados,2018,534098.8226220204,189806.85767211937,51587.41375055144,830.1253918494187,316.57719614259076,268.67662783092953,244.87156787589842
Servicios sociales y de salud privados,2019,745134.5393747243,264136.2187912561,75139.300075346,862.7200628113224,316.9498229082762,278.1000467173802,267.670193185666
Servicios sociales y de salud privados,2020,863039.6126245339,349977.9330813866,76898.35116963656,819.9613192486548,320.58138817371236,273.06502604567106,226.31490502927136
Servicios sociales y de salud privados,2021,1463164.4602309926,554233.5057528612,136151.33231844136,893.0228275985867,323.42376243650335,300.5299719050756,269.0690932570077
Servicios sociales y de salud privados,2022,2611655.441627517,1004496.8115507489,237505.4638385977,935.4467998471087,324.96029358534054,332.8389686049332,277.6475376568349
"Otras actividades de servicios comunitarias, sociales y personales",2016,235730.99300841507,143638.67303008478,31881.47722367432,1047.4984488379528,498.0113045321672,314.0109554341763,235.47618887160945
"Otras actividades de servicios comunitarias, sociales y personales",2017,307857.48103079735,192530.01924962172,38794.27723165987,1078.6146457194338,503.43765071186226,340.7591025492442,234.41789245832732
"Otras actividades de servicios comunitarias, sociales y personales",2018,389972.17756265454,246199.1470778474,54407.93380491399,1109.1532680071678,506.7685574108587,354.3276571161801,248.05705348012887
"Otras actividades de servicios comunitarias, sociales y personales",2019,542933.3459498166,346051.23463826074,81720.39228816726,1116.3035158912007,506.5633231771056,329.26379127584767,280.47640143824736
"Otras actividades de servicios comunitarias, sociales y personales",2020,515315.1621229041,420003.08020129934,79415.80517653402,994.0173765662428,490.09531176111744,265.7209455729046,238.2011192322206
"Otras actividades de servicios comunitarias, sociales y personales",2021,974428.424632486,640680.4508726295,120044.67784275775,1095.504096142823,488.6671914012612,343.7226468519283,263.1142578896335
"Otras actividades de servicios comunitarias, sociales y personales",2022,1809705.4411032011,1162645.318090632,247963.27366839064,1249.7170119432576,500.78553921800585,438.6961559739918,310.2353167512599
Hogares privados con servicio doméstico,2016,58837.028504457405,58837.028504457405,NA,1695.899766477764,480.0950833333334,1215.8046831444306,NA
Hogares privados con servicio doméstico,2017,74954.92037428316,74954.92037428316,NA,1648.8762624565761,495.03053660141717,1153.845725855159,NA
Hogares privados con servicio doméstico,2018,96676.20896537011,96676.20896537011,NA,1662.2472025281763,514.3671798572653,1147.880022670911,NA
Hogares privados con servicio doméstico,2019,138170.54273089996,138170.54273089996,NA,1742.1314008435374,527.2449989196153,1214.886401923922,NA
Hogares privados con servicio doméstico,2020,157147.83727433198,157147.83727433198,NA,1411.5785831966086,514.4650568578743,897.1135263387343,NA
Hogares privados con servicio doméstico,2021,230384.34074557794,230384.34074557794,NA,1477.145189422346,502.53387692271724,974.6113124996289,NA
Hogares privados con servicio doméstico,2022,440175.5093999998,440175.50939999986,NA,1622.3936310771644,500.5420736982852,1121.851557378879,NA
